feature,feature_source,healthy_mean,cancer_mean,mean_diff,abs_diff,p_value
panel_Collinsella_log10,log10_abundance,-3.8770844790660193,-3.3218489523018078,0.5552355267642115,0.5552355267642115,0.05989436460997097
panel_Fusobacterium_nucleatum_log10,log10_abundance,-5.645458203016178,-5.190009414899668,0.45544878811650946,0.45544878811650946,0.05580123748787309
panel_Klebsiella_log10,log10_abundance,-3.5201075860581312,-3.0997113071172047,0.42039627894092657,0.42039627894092657,0.19872915772605582
panel_Lachnospira_log10,log10_abundance,-2.793520791605621,-3.202329232781247,-0.40880844117562587,0.40880844117562587,0.06989183361605766
panel_Mediterraneibacter_log10,log10_abundance,-2.452878383560919,-2.1343279261866317,0.31855045737428744,0.31855045737428744,0.10749486521489626
panel_Bifidobacterium_log10,log10_abundance,-3.149283233090067,-2.842793000867427,0.30649023222263994,0.30649023222263994,0.5608516966002302
panel_Escherichia_log10,log10_abundance,-2.544808310510234,-2.2538918205773983,0.2909164899328358,0.2909164899328358,0.694877426962106
panel_Escherichia_coli_log10,log10_abundance,-2.548974782067985,-2.259990706661143,0.2889840754068418,0.2889840754068418,0.6948910198677665
panel_Bifidobacterium_longum_log10,log10_abundance,-3.746354428942547,-3.4596737852322867,0.28668064371026025,0.28668064371026025,0.48170286269678175
panel_Roseburia_intestinalis_log10,log10_abundance,-2.7237531234186005,-2.969275615497258,-0.24552249207865762,0.24552249207865762,0.1404197147055012
panel_Ruminococcus_log10,log10_abundance,-2.6954528005298615,-2.940966265461504,-0.2455134649316424,0.2455134649316424,0.25582393844307805
panel_Parvimonas_micra_log10,log10_abundance,-5.159917254784941,-4.922405598898987,0.23751165588595402,0.23751165588595402,0.3070238841902615
panel_Enterocloster_log10,log10_abundance,-2.6870790631894215,-2.468122650210223,0.21895641297919832,0.21895641297919832,0.29767675447218045
panel_Blautia_log10,log10_abundance,-2.354450208593305,-2.1585906955944423,0.1958595129988625,0.1958595129988625,0.7352681529274933
panel_Bacteroides_log10,log10_abundance,-0.7400469766548025,-0.544670637347057,0.19537633930774545,0.19537633930774545,0.08585487995041036
panel_Flavonifractor_log10,log10_abundance,-2.698982639366351,-2.5053624985772793,0.19362014078907164,0.19362014078907164,0.5699816552569423
panel_Agathobacter_rectalis_log10,log10_abundance,-2.3559813977516892,-2.5418077853056924,-0.18582638755400316,0.18582638755400316,0.25029679750351164
panel_Agathobacter_log10,log10_abundance,-2.356007831935179,-2.5418077853056924,-0.18579995337051347,0.18579995337051347,0.25029679750351164
panel_Bacteroides_fragilis_log10,log10_abundance,-1.7661945355771493,-1.5884163333734924,0.17777820220365692,0.17777820220365692,0.4734598779920004
panel_Coprococcus_log10,log10_abundance,-2.962235941506303,-2.7854867301509936,0.1767492113553093,0.1767492113553093,0.8392322130718609
panel_Anaerostipes_hadrus_log10,log10_abundance,-3.356154601710999,-3.184915698120645,0.17123890359035387,0.17123890359035387,0.6167416419447269
panel_Roseburia_log10,log10_abundance,-2.412918715457379,-2.5699111956836815,-0.15699248022630252,0.15699248022630252,0.15952508438797042
panel_Odoribacter_log10,log10_abundance,-3.110643770684949,-2.9941267646421594,0.11651700604278936,0.11651700604278936,0.6071845997163849
panel_Parabacteroides_log10,log10_abundance,-1.6218625842775922,-1.5151796397503674,0.10668294452722482,0.10668294452722482,0.5978625674290079
panel_Simiaoa_log10,log10_abundance,-2.8753194052083617,-2.779947735399605,0.09537166980875655,0.09537166980875655,0.9245692007780735
panel_Segatella_log10,log10_abundance,-2.2998368597936376,-2.392692126021529,-0.09285526622789142,0.09285526622789142,0.9353163952368123
panel_Paraprevotella_log10,log10_abundance,-2.8479762231097108,-2.786309228713821,0.06166699439588985,0.06166699439588985,0.7867261171725833
panel_Vescimonas_log10,log10_abundance,-2.9628183100476733,-3.0181711052682028,-0.055352795220529494,0.055352795220529494,0.7149670956879366
panel_Faecalibacterium_prausnitzii_log10,log10_abundance,-2.0274305287594774,-1.9731421708175378,0.054288357941939536,0.054288357941939536,0.7763905055505131
panel_Faecalibacterium_log10,log10_abundance,-1.8049480279737828,-1.7613360119099948,0.04361201606378806,0.04361201606378806,0.7149798814655983
panel_Phascolarctobacterium_log10,log10_abundance,-2.6860880945752266,-2.7289445202415132,-0.04285642566628667,0.04285642566628667,0.9353163952368123
panel_Alistipes_log10,log10_abundance,-1.9951322446170525,-2.014237450712355,-0.01910520609530253,0.01910520609530253,0.7352681529274933
panel_Phocaeicola_log10,log10_abundance,-1.0775850701588285,-1.0844198169279948,-0.006834746769166289,0.006834746769166289,0.507505297961912
panel_Prevotella_log10,log10_abundance,-2.9075024945658607,-2.9123067643405225,-0.004804269774661751,0.004804269774661751,0.7660352392188963
