Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,isolate
SRR15884209,AMPLICON,400,12097507,PRJNA763023,SAMN21420576,Metagenome or environmental,6005859,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175399,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_109,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_109,SRP336949,oControl_109
SRR15884210,AMPLICON,407,29957881,PRJNA763023,SAMN21420656,Metagenome or environmental,9080897,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175398,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_181,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_181,SRP336949,oControl_181
SRR15884211,AMPLICON,410,26543166,PRJNA763023,SAMN21420655,Metagenome or environmental,8922852,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175397,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_180,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_180,SRP336949,oControl_180
SRR15884212,AMPLICON,404,13416383,PRJNA763023,SAMN21420654,Metagenome or environmental,6830322,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175396,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_17,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_17,SRP336949,oControl_17
SRR15884213,AMPLICON,411,25626798,PRJNA763023,SAMN21420653,Metagenome or environmental,8866647,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175395,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_179,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_179,SRP336949,oControl_179
SRR15884214,AMPLICON,401,23296621,PRJNA763023,SAMN21420652,Metagenome or environmental,7689130,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175394,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_178,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_178,SRP336949,oControl_178
SRR15884215,AMPLICON,417,30682329,PRJNA763023,SAMN21420651,Metagenome or environmental,10096054,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175393,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_177,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_177,SRP336949,oControl_177
SRR15884216,AMPLICON,408,25835637,PRJNA763023,SAMN21420650,Metagenome or environmental,9017422,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175392,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_176,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_176,SRP336949,oControl_176
SRR15884217,AMPLICON,409,25994445,PRJNA763023,SAMN21420649,Metagenome or environmental,9078484,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175391,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_175,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_175,SRP336949,oControl_175
SRR15884218,AMPLICON,419,25701015,PRJNA763023,SAMN21420648,Metagenome or environmental,8632114,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175390,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_174,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_174,SRP336949,oControl_174
SRR15884219,AMPLICON,409,29589916,PRJNA763023,SAMN21420647,Metagenome or environmental,10049957,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175389,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_173,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_173,SRP336949,oControl_173
SRR15884220,AMPLICON,400,13362226,PRJNA763023,SAMN21420575,Metagenome or environmental,6606445,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175388,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_108,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_108,SRP336949,oControl_108
SRR15884221,AMPLICON,413,26108174,PRJNA763023,SAMN21420646,Metagenome or environmental,8735147,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175387,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_172,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_172,SRP336949,oControl_172
SRR15884222,AMPLICON,408,23776961,PRJNA763023,SAMN21420645,Metagenome or environmental,7955562,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175386,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_171,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_171,SRP336949,oControl_171
SRR15884223,AMPLICON,407,23924703,PRJNA763023,SAMN21420644,Metagenome or environmental,8219307,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175385,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_170,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_170,SRP336949,oControl_170
SRR15884224,AMPLICON,403,15675688,PRJNA763023,SAMN21420643,Metagenome or environmental,8063682,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175384,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_16,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_16,SRP336949,oControl_16
SRR15884225,AMPLICON,407,66450058,PRJNA763023,SAMN21420642,Metagenome or environmental,22441291,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175383,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_169,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_169,SRP336949,oControl_169
SRR15884226,AMPLICON,415,28384878,PRJNA763023,SAMN21420641,Metagenome or environmental,11663018,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175382,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_168,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_168,SRP336949,oControl_168
SRR15884227,AMPLICON,413,61944118,PRJNA763023,SAMN21420640,Metagenome or environmental,22267211,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175381,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_167,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_167,SRP336949,oControl_167
